0010,1,180,20,9
0010,0,180,20,9
0010,0,180,20,9
0010,1,180,20,9
0,10,0.300000011920929,0.3,0,4
1,50,-0.5,-0.5,0,8
2,100,0,0,0,12
3,10,-0.699999988079071,-0.7,0,16
4,50,-0.899999976158142,-0.9,0,20
5,100,-0.600000023841858,-0.6,0,24
6,10,-0.800000011920929,-0.8,0,28
7,50,-0.300000011920929,-0.3,0,32
8,100,-0.200000002980232,-0.2,0,36
9,10,0.5,0.5,0,40
10,50,-0.100000001490116,-0.1,0,44
11,100,0.100000001490116,0.1,0,48
12,10,0.200000002980232,0.2,0,52
13,50,0.600000023841858,0.6,0,56
14,100,-0.400000005960464,-0.4,0,60
15,10,0.400000005960464,0.4,0,64
16,50,-1,-1,0,68
17,100,0.699999988079071,0.7,0,72
18,10,0.800000011920929,0.8,0,76
19,50,0.899999976158142,0.9,0,80
20,100,-0.899999976158142,-0.9,0,84
21,10,-0.5,-0.5,0,88
22,50,0.400000005960464,0.4,0,92
23,100,-0.100000001490116,-0.1,0,96
24,10,-0.800000011920929,-0.8,0,100
25,50,-0.400000005960464,-0.4,0,104
26,100,-0.699999988079071,-0.7,0,108
27,10,-0.300000011920929,-0.3,0,112
28,50,-0.200000002980232,-0.2,0,116
29,100,-1,-1,0,120
30,10,0,0,0,124
31,50,0.600000023841858,0.6,0,128
32,100,0.100000001490116,0.1,0,132
33,10,0.300000011920929,0.3,0,136
34,50,0.200000002980232,0.2,0,140
35,100,0.5,0.5,0,144
36,10,-0.600000023841858,-0.6,0,148
37,50,0.699999988079071,0.7,0,152
38,100,0.800000011920929,0.8,0,156
39,10,0.899999976158142,0.9,0,160
40,50,-0.899999976158142,-0.9,0,164
41,100,-0.699999988079071,-0.7,0,168
42,10,-0.400000005960464,-0.4,0,172
43,50,-0.600000023841858,-0.6,0,176
44,100,0.100000001490116,0.1,0,180
45,10,-0.5,-0.5,0,184
45,10,-0.5,-0.5,0,188
46,50,-0.100000001490116,-0.1,0,192
47,100,-0.300000011920929,-0.3,0,196
48,10,0.600000023841858,0.6,0,200
49,50,-0.200000002980232,-0.2,0,204
50,100,-1,-1,0,208
51,10,-0.800000011920929,-0.8,0,212
52,50,0.200000002980232,0.2,0,216
53,100,0.899999976158142,0.9,0,220
54,10,0.400000005960464,0.4,0,224
55,50,0.5,0.5,0,228
56,100,0.300000011920929,0.3,0,232
57,10,0.699999988079071,0.7,0,236
58,50,0.800000011920929,0.8,0,240
59,100,0,0,0,244
60,10,-0.100000001490116,-0.1,0,248
61,50,-0.600000023841858,-0.6,0,252
62,100,0.100000001490116,0.1,0,256
63,10,-0.5,-0.5,0,260
64,50,-0.800000011920929,-0.8,0,264
65,100,-0.300000011920929,-0.3,0,268
66,10,-0.400000005960464,-0.4,0,272
67,50,-0.899999976158142,-0.9,0,276
68,100,-1,-1,0,280
69,10,-0.699999988079071,-0.7,0,284
70,50,0,0,0,288
71,100,0.300000011920929,0.3,0,292
72,10,0.200000002980232,0.2,0,296
73,50,0.400000005960464,0.4,0,300
74,100,-0.200000002980232,-0.2,0,304
75,10,0.5,0.5,0,308
76,50,0.600000023841858,0.6,0,312
77,100,0.699999988079071,0.7,0,316
78,10,0.800000011920929,0.8,0,320
79,50,0.899999976158142,0.9,0,324
80,100,-0.800000011920929,-0.8,0,328
81,10,-0.899999976158142,-0.9,0,332
82,50,-0.5,-0.5,0,336
83,100,-0.699999988079071,-0.7,0,340
84,10,-0.600000023841858,-0.6,0,344
85,50,0,0,0,348
86,100,-0.300000011920929,-0.3,0,352
87,10,-0.400000005960464,-0.4,0,356
88,50,-0.200000002980232,-0.2,0,360
89,100,-0.100000001490116,-0.1,0,364
90,10,0.200000002980232,0.2,0,368
91,50,0.100000001490116,0.1,0,372
92,100,0.600000023841858,0.6,0,376
93,10,0.300000011920929,0.3,0,380
94,50,0.400000005960464,0.4,0,384
95,100,0.5,0.5,0,388
96,10,-1,-1,0,392
97,50,0.699999988079071,0.7,0,396
98,100,0.800000011920929,0.8,0,400
99,10,0.899999976158142,0.9,0,404
100,50,-0.600000023841858,-0.6,0,408
101,100,0.100000001490116,0.1,0,412
102,10,-0.800000011920929,-0.8,0,416
103,50,-0.300000011920929,-0.3,0,420
104,100,0.899999976158142,0.9,0,424
105,10,-0.5,-0.5,0,428
106,50,-0.400000005960464,-0.4,0,432
107,100,-0.699999988079071,-0.7,0,436
108,10,-0.200000002980232,-0.2,0,440
109,50,-0.899999976158142,-0.9,0,444
110,100,0,0,0,448
111,10,-0.100000001490116,-0.1,0,452
112,50,0.200000002980232,0.2,0,456
113,100,0.300000011920929,0.3,0,460
114,10,0.400000005960464,0.4,0,464
115,50,0.5,0.5,0,468
116,100,0.600000023841858,0.6,0,472
117,10,0.699999988079071,0.7,0,476
118,50,0.800000011920929,0.8,0,480
119,100,-1,-1,0,484
120,10,0.100000001490116,0.1,0,488
121,50,-0.899999976158142,-0.9,0,492
122,100,-0.699999988079071,-0.7,0,496
123,10,0.200000002980232,0.2,0,500
124,50,-0.600000023841858,-0.6,0,504
125,100,-0.300000011920929,-0.3,0,508
126,10,0.699999988079071,0.7,0,512
127,50,-0.400000005960464,-0.4,0,516
128,100,-0.200000002980232,-0.2,0,520
129,10,-0.100000001490116,-0.1,0,524
130,50,0,0,0,528
131,100,-0.5,-0.5,0,532
132,10,-0.800000011920929,-0.8,0,536
133,50,0.300000011920929,0.3,0,540
134,100,0.400000005960464,0.4,0,544
135,10,0.5,0.5,0,548
136,50,0.600000023841858,0.6,0,552
137,100,-1,-1,0,556
138,10,0.800000011920929,0.8,0,560
139,50,0.899999976158142,0.9,0,564
140,100,-0.800000011920929,-0.8,0,568
141,10,0.300000011920929,0.3,0,572
142,50,0.200000002980232,0.2,0,576
143,100,-0.699999988079071,-0.7,0,580
144,10,-1,-1,0,584
145,50,-0.5,-0.5,0,588
146,100,-0.200000002980232,-0.2,0,592
147,10,-0.300000011920929,-0.3,0,596
148,50,-0.100000001490116,-0.1,0,600
149,100,-0.600000023841858,-0.6,0,604
150,10,0,0,0,608
151,50,0.100000001490116,0,-0.1,608
152,100,-0.400000005960464,-0.4,0,612
153,10,-0.899999976158142,-0.9,0,616
154,50,0.400000005960464,0.4,0,620
155,100,0.5,0.5,0,624
156,10,0.600000023841858,0.6,0,628
157,50,0.699999988079071,0.7,0,632
158,100,0.800000011920929,0.8,0,636
159,10,0.899999976158142,0.9,0,640
160,50,-0.899999976158142,-0.9,0,644
161,100,-0.800000011920929,-0.8,0,648
162,10,-0.600000023841858,-0.6,0,652
163,50,-0.100000001490116,-0.1,0,656
164,100,-0.699999988079071,-0.7,0,660
165,10,0,0,0,664
166,50,-1,-1,0,668
167,100,-0.300000011920929,-0.3,0,672
168,10,-0.400000005960464,-0.4,0,676
169,50,0.400000005960464,0.4,0,680
170,100,-0.200000002980232,-0.2,0,684
171,10,0.100000001490116,0.1,0,688
172,50,0.200000002980232,0.2,0,692
173,100,0.300000011920929,0.3,0,696
174,10,-0.5,-0.5,0,700
175,50,0.5,0.5,0,704
176,100,0.600000023841858,0.6,0,708
177,10,0.699999988079071,0.7,0,712
178,50,0.800000011920929,0.8,0,716
179,100,0.899999976158142,0.9,0,720
